MSE,Inverse-Dynamic-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
2.2679062,0.11342465,2.4131054155945266,0.6647106189737972,3.1813262151642308,1.00066223531107,289.74604666767334,1.0958176137582456,292.3070375669261,287.11907159440653,0.015135639,0.23439999,0.6814716,-0.56572175,120.07185628742515,0.49632013856531965,121,119,10,1.0599344626457594,0.6086233033679023,3.876859502077217,-1.9915926638352985,1059.9344626457591,155.31443120207834,1239.813207125555,814.3455532727216,0.08329602,0.52189666,0.99921757,-0.99872965,1000.0,0.0,1000,1000,289.74604666767334,6,10000,10,89.65619960099866,0,14.103935937000642,103.7601355379993,121.79911151299893,0
2.2679062,0.043564204,2.462257543630167,0.6731621702693227,3.197060058704859,0.9368947718697158,311.6937539882719,1.3588278302288386,314.3681390389634,309.02847363204444,0.011557914,0.2927225,0.7342808,-0.8802072,126.5886075949367,0.4920860637322827,127,126,10,1.116364328527366,0.6345952487686387,3.246401950990065,-2.5098935060248744,1116.3643285273668,59.80568553046344,1188.0755964824054,1036.4068477049907,-0.226035,0.6831342,0.99999785,-0.99999994,1000.0,0.0,1000,1000,311.6937539882719,16,20000,20,149.58466767700156,18.052771556998778,13.959780522000074,181.5972197560004,303.2311769889984,1
2.2679062,0.028003264,2.9291649910650337,0.8636433336457741,4.426175537400292,0.8676384373562978,535.1318150949356,9.508939086250532,547.0933661793181,510.3766763842772,-0.054635692,0.4121375,0.9394064,-0.998387,182.6909090909091,2.6276344513492274,186,176,10,1.166261524158043,0.7405540534545645,3.6964971413189804,-1.7395228456961074,1166.261524158045,177.80610813328641,1265.4272061723846,640.8691453138093,-0.24301307,0.7771798,1.0,-1.0,1000.0,0.0,1000,1000,535.1318150949356,26,30000,30,149.67114192000008,17.889371782001035,14.157456352002555,181.71797005400367,485.14547291700546,2
2.2679062,0.026045851,2.8225596644273594,0.8396830214525693,4.26489232071257,1.001485167659716,461.15576436042454,8.192723585393376,473.998503591427,440.37691357927554,-0.03971133,0.39242387,0.97629166,-0.9986539,163.3821138211382,2.239774688157586,167,158,10,1.4387333012907402,0.8802584514040773,5.929701424039476,-0.6054967044234307,1438.7333012907359,92.1071861305745,1549.4368083474483,1233.4790065837283,-0.5680152,0.62768656,1.0,-1.0,1000.0,0.0,1000,1000,461.15576436042454,36,40000,40,148.90300226100044,18.086638497999957,15.413546226005565,182.40318698500596,667.4266144960111,3
2.2679062,0.014641921,2.563596957787951,0.7431402857291559,3.5648241993761527,0.9308077204240099,325.31720888385075,1.2633336205081886,328.4463440678985,317.9970701596844,0.033398148,0.357753,0.935223,-0.94682497,126.89873417721519,0.4086079086473158,128,124,10,1.41105999677302,0.8377356033949924,6.051847608822611,-0.513869307255465,1411.0599967730209,59.807938361666125,1521.0593122138657,1333.3078035120102,-0.52491033,0.5344663,0.99999976,-1.0,1000.0,0.0,1000,1000,325.31720888385075,46,50000,50,147.9860957559995,17.96447045199966,16.770134404998316,182.72070061299746,849.8674632060065,4
2.2679062,0.018415475,2.8740592185516136,0.8068134954871732,4.875648220169585,0.9537702073371317,532.9250917658761,35.64612796290515,607.8508270281062,365.5811130529046,-0.047621835,0.4473473,0.9905733,-0.9999657,185.42592592592592,9.481174040154427,203,139,10,1.3703762738464442,0.784996147963742,4.77797582049852,0.16578077309714925,1370.3762738464372,61.58483281796048,1491.3464506597863,1295.7012193832593,-0.38819674,0.5222574,0.99999964,-1.0,1000.0,0.0,1000,1000,532.9250917658761,56,60000,60,147.4783828610016,17.685968859999775,16.899158498998077,182.06351021999944,1031.902930011005,5
2.2679062,0.01755927,2.99272346058092,0.8551205091343975,5.367627069587416,0.9690235749557728,610.0319134800299,36.99979076594433,653.3016052912833,491.81230383453357,-0.05318244,0.46511096,0.9998905,-0.9999992,203.83838383838383,9.827509390601724,215,176,10,1.450102240234513,0.8903407075328902,5.513686025321205,0.2849506787599611,1450.1022402345104,71.86280287538068,1574.7731752500365,1349.0538352623544,-0.41420066,0.5639252,0.99999994,-1.0,1000.0,0.0,1000,1000,610.0319134800299,66,70000,70,146.68012800299584,17.658442108999225,16.970142863001456,181.30871297499652,1213.6977430690004,6
2.2679062,0.019982528,3.0067681342264043,0.8368234701212789,5.6809294801770545,0.9256537866386543,664.3635920317616,39.36376079346623,747.82210028223,595.5478837369546,-0.06434339,0.47929898,0.99994695,-0.9999962,220.95604395604394,10.080894875583882,242,207,10,1.4269767385867538,1.0593623864546635,5.883722616949932,-1.4427395792040882,1426.9767385867563,109.46354755222099,1565.4623385559216,1217.3880265025782,-0.560722,0.59173256,0.9999943,-1.0,1000.0,0.0,1000,1000,664.3635920317616,76,80000,80,147.24556213600044,18.146576929999355,17.378969804994995,182.7711088709948,1396.5171543169927,7
2.2679062,0.020437691,3.031417465171766,0.8416363291471218,5.375065562372029,0.9514653526086652,668.1443966917594,45.81586202297795,929.0659308984804,574.7070218484586,-0.062097367,0.4881533,0.9999795,-0.99999887,220.4065934065934,11.303969955142737,285,195,10,1.4972744996217409,1.0936508166435794,5.816540994720189,-1.8522340968946038,1497.2744996217439,110.23711540200229,1637.6948214117715,1304.3608041830962,-0.53819907,0.6052409,0.9999995,-1.0,1000.0,0.0,1000,1000,668.1443966917594,86,90000,90,145.99093807999816,18.189056183000503,17.42386647699641,181.60386073999507,1578.0547103399913,8
2.2679062,0.015863562,3.2275656093759704,0.7653520178825156,5.909189063528333,0.8461281468648371,1214.8796032625182,341.6724826266902,2053.084484808586,548.6949581485665,-0.07039987,0.4765615,0.9998771,-0.99999774,376.4074074074074,99.88132189578207,621,183,10,1.657094024471669,1.3693974796417705,6.01956450285385,-1.9666425464874544,1657.094024471665,393.2134724508854,2770.481312052813,1334.1192941024538,-0.54847586,0.60840726,1.0,-1.0,1000.0,0.0,1000,1000,1214.8796032625182,96,100000,100,145.17627138600255,18.130303919000653,17.609869002004416,180.91644430700762,1759.5522417189986,9
