Inverse-Dynamic-MSE,Valid-InvDyn-MSE,Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Total Rew Mean,Total Rew Std,Total Rew Max,Total Rew Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Test Pred_Real_MSE,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.13655402,0.15382886,0.16864845,0.97265625,0.002371018,4.0,-3.7314906,2.9222975,-0.038357265,-10.000046,6.26851,2.9222956,9.961642,0.0,2.376780156702575,0.4893885208093138,4.455104133879281,1.006671288828814,1550.5519547288422,560.9920305870897,2426.709695678824,880.4755795387307,0.040234607,0.877632,1.0,-1.0,652.375,240.46176281271832,1000,374,10,6.975008685278976,2.130658915496098,0.9297784429524047,5.111155717123213,-4.929447490393342,2130.658915496099,211.59071683519673,2417.6029347885506,1662.4318020608732,0.024281101,0.8977828,1.0,-1.0,1000.0,0.0,1000,1000,1550.5519547288422,110,110000,115,126.6816683310044,7.129310407000958,15.823981018003906,149.63495975600927,1572.4657678340063,10
0.05895838,0.13466856,0.1445517,0.9746094,0.002994618,4.0,-3.9740176,2.8473256,-0.35420132,-10.000046,6.025984,2.847323,9.645799,0.0,2.527047680159972,0.6536855814095679,5.3379147738870305,1.0100697875988405,1049.129114895214,772.8272195403766,2756.430676553423,218.61258894110813,0.036408063,0.84277785,1.0,-1.0,415.16,281.0410190701706,1000,115,10,5.951331927612683,2.082420904730536,0.8653272883150782,6.470591189730928,-0.5009188160518587,2082.4209047305358,213.41396346175847,2414.6165848572246,1701.9731558291314,0.024154987,0.89657146,1.0,-1.0,1000.0,0.0,1000,1000,1049.129114895214,120,120000,125,119.34888232399499,7.540828262999639,15.405607264998253,142.29531785199288,1714.4626704429993,11
0.14012851,0.13092712,0.14649148,0.97265625,0.0029824078,4.0,-4.972499,3.3866441,-0.34172687,-10.000046,5.027502,3.3866425,9.658273,0.0,2.3679526215233637,0.49262090342268855,5.276888697279481,0.9679119271938603,1849.8784158286448,518.527309471697,2341.326784395361,907.6659225066022,0.039497204,0.8572338,1.0,-1.0,781.2142857142857,235.6035345876714,1000,366,10,7.017934885762499,1.8363642775884208,1.0385467444535397,6.734752552379762,-3.2526775975893742,1836.3642775884211,472.1078230308413,2373.065433782218,1172.1197650825504,0.040040605,0.91286045,1.0,-1.0,1000.0,0.0,1000,1000,1849.8784158286448,130,130000,135,123.29672138099886,7.242767490000915,15.896943290999843,146.43643216199962,1860.978414522,12
0.11280651,0.11614346,0.13738935,0.9746094,0.002180411,4.0,-5.195037,3.7252154,-0.39969757,-10.000046,4.8049645,3.7252138,9.600303,0.0,2.5444590919288514,0.5659793754245779,5.545019019379243,0.9680011353505728,1117.6536561297478,352.2711593224283,2137.5611180266937,660.8156803553034,0.058623563,0.8528772,1.0,-1.0,439.25,134.50689263627595,811,284,10,10.331486260863656,2.0104068207133357,1.0587484481267404,6.211147046455097,-3.393237921788101,2010.4068207133364,399.2363575234039,2565.52881095882,1208.77956555168,0.120674014,0.90073967,1.0,-1.0,1000.0,0.0,1000,1000,1117.6536561297478,140,140000,145,124.98008177999691,7.322470785000405,15.995053439997719,148.29760600499503,2008.6871357449945,13
0.094092704,0.11185442,0.13317847,0.9765625,0.010131167,4.0,-4.1413198,3.297749,-0.59303015,-10.000046,5.8586802,3.2977486,9.40697,0.0,2.699620708884056,0.4565013583047559,4.466224482289378,0.9735017646376251,2494.2041149444226,335.466487053104,2726.100366882056,1691.7745163459583,0.08031784,0.86027616,1.0,-1.0,923.9090909090909,127.844688833013,1000,623,10,4.601724564964221,2.3018062765133056,0.9432617822737319,5.49025903170216,-4.537557066721328,2301.806276513306,404.9590432934873,2638.212312324923,1246.5821336627912,0.036930818,0.89767843,1.0,-1.0,1000.0,0.0,1000,1000,2494.2041149444226,150,150000,155,127.0248059670048,6.739664566999636,15.724501631000749,149.48897216500518,2158.039286007999,14
0.108627036,0.121741794,0.15005031,0.9863281,0.0065484354,4.0,-3.740263,3.0780606,-0.35963187,-10.000046,6.259737,3.07806,9.640368,0.0,2.7390520447132025,0.43448369156759054,4.090155659128551,0.9180809927631612,2302.4014979185054,603.3256254946334,2787.330832768833,1027.6968746430584,0.08869841,0.8566661,1.0,-1.0,840.5833333333334,212.36935526472635,1000,395,10,3.760930576636208,2.244888631862582,1.0071461861041817,6.4600367014434354,-4.4976608399486535,2244.888631862582,473.6908390359726,2707.9326138956644,1369.0878342441445,0.04976005,0.9045839,1.0,-1.0,1000.0,0.0,1000,1000,2302.4014979185054,160,160000,165,111.98939207400326,6.593171615000756,13.940918667003643,132.52348235600766,2290.166213993005,15
0.05703357,0.10253631,0.18114111,0.97265625,0.0034824023,4.0,-3.1751113,2.9081237,-0.24149175,-10.000046,6.8248906,2.90812,9.758509,0.0,2.5915606786843375,0.4103603873983756,3.7821599132374986,0.980154252115076,2591.560678684338,24.870443552605813,2634.5503883087395,2534.8364650587764,0.08113581,0.8668068,1.0,-1.0,1000.0,0.0,1000,1000,10,2.7372374316336567,2.5806508495579563,1.0510097106953706,6.115253343901533,-3.9013691004649935,2580.6508495579565,489.62815334455235,2911.266036241045,1199.3526742182758,0.044739176,0.89395183,1.0,-1.0,1000.0,0.0,1000,1000,2591.560678684338,170,170000,175,118.39498742100113,6.2023236519999045,14.571735747997081,139.16904682099812,2429.4902748460026,16
0.07174091,0.09642978,0.19449586,0.9785156,0.022295604,4.0,-2.7665343,2.6276839,-0.31843287,-10.000046,7.2334685,2.627676,9.681567,0.0,2.690189822975705,0.45244637960715794,3.7329247137816206,0.9323338267367837,1364.7332971955752,877.0425479266978,2786.0331902227845,560.8701099835444,0.05188415,0.82497936,1.0,-1.0,507.3,311.7471892415391,1000,227,10,1.5018182452423243,2.6294752565544868,0.8241059575313824,6.308812281269195,-3.7585316805023323,2629.4752565544877,294.18457219655966,2827.1679555501037,1783.1144579595375,0.028097128,0.88575435,1.0,-1.0,1000.0,0.0,1000,1000,1364.7332971955752,180,180000,185,106.90037874300106,6.353223837999394,13.477640746998077,126.73124332799853,2556.019580410002,17
0.018901551,0.09174582,0.21584716,0.9746094,0.022237446,4.0,-2.1139495,1.7071993,-0.18263131,-9.678236,7.8860507,1.7071993,9.8173685,0.321764,2.918139659881286,0.44750464555901764,3.8711801420747536,0.9407580609021424,1993.8675582748872,892.005242100485,2970.9415182430507,597.6939917827998,0.026270429,0.84940803,0.9999999,-1.0,683.2666666666667,294.05384238642796,1000,230,10,1.8067396882007842,2.7603036472115887,0.9307042784348903,5.113421467198927,-3.18675946865425,2760.303647211589,326.2399340187148,3047.817512475121,1849.2714171674568,0.03783085,0.8842751,1.0,-1.0,1000.0,0.0,1000,1000,1993.8675582748872,190,190000,195,110.96296257100039,6.155718489000719,13.489906139995583,130.6085871999967,2686.639140747997,18
0.056526743,0.100296125,0.2538412,0.96484375,0.0030257155,4.0,-2.3024786,1.8982114,-0.35774234,-10.000046,7.697521,1.8982106,9.642258,0.0,2.808064520891289,0.49848073775575813,4.765435119370571,0.9489520801565808,1820.8543377654455,530.5406565022428,2709.407506956284,867.4062749480319,0.0706519,0.8404964,1.0,-1.0,648.4375,191.19458960375945,1000,314,10,2.9920678379909704,2.7457260492208033,0.9224990782916511,6.109064721498233,-3.6609434732932202,2745.7260492208034,310.37708085737455,3133.4435267038957,2193.1416032315033,0.011152588,0.887828,1.0,-1.0,1000.0,0.0,1000,1000,1820.8543377654455,200,200000,205,107.75340485099514,6.167929527000524,13.385893857996052,127.30722823599172,2814.0888578059894,19
