Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Reward Scale,QF1 Loss,QF2 Loss,Alpha Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Alpha Mean,Alpha Std,Alpha Max,Alpha Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.037560552,0.9921875,0.004456724,4.0,-7.939421,2.684856,-0.42024726,-10.000046,2.0,58.961716,53.229145,0.13518837,1138.3252,-1132.604,318.1864,-430.93982,-1724.2289,-1132.8602,316.6435,-426.57465,-1720.5822,0.8209756038977681,0.0,0.8209756038977681,0.8209756038977681,3.6832163,1.9911147,10.295015,-2.2666366,0.045375567,1.31222,2.479242,-2.5052087,-0.64113283,0.27333635,-0.06391752,-2.38906,1.020053129753127,0.31925753080747143,1.914820012590416,0.265210926915835,1020.0531297531272,3.251979657844552,1025.2145266508048,1013.2433397286702,0.2754695,0.5027213,0.99946105,-0.7748199,1000.0,0.0,1000,1000,10,1.1499605536183894,0.4327652098436785,3.1347707070769655,-0.23757170191098967,1149.9605536183892,66.0066374353287,1251.6930305684061,1009.3960616328801,-0.04779946,0.6364728,0.99998105,-0.9999845,1000.0,0.0,1000,1000,1020.0531297531272,106,110000,110,166.16218724298233,13.082777997995436,12.174052646994824,191.4190178879726,2124.2559185618666,10
0.03820911,0.9941406,0.040797528,4.0,-7.474058,2.774032,-0.5260267,-10.000046,2.0,53.612717,50.186287,0.104887344,1020.55396,-1016.5035,432.37924,-148.20288,-2156.5981,-1017.56494,432.1007,-148.08757,-2151.0378,0.530400478732929,0.0,0.530400478732929,0.530400478732929,3.1653476,1.9859427,8.932968,-2.0415711,0.22814904,1.0876583,3.373201,-2.4612594,-0.81284755,0.31632227,-0.27999008,-2.022775,2.1312408318230864,0.485679813967429,3.2156022623307905,0.9491855480330145,330.09641652890656,1.4389547915290648,334.64826861319506,326.12009895701647,0.049240805,0.33281422,0.9884825,-0.9908424,154.8846153846154,0.423076923076923,156,154,10,1.162196633674356,0.5098232178229932,3.6916384664445956,-0.39191570054491076,1162.1966336743565,58.32597344015839,1204.7632950491068,996.2652001643636,-0.09512134,0.597788,0.99992675,-0.99993,1000.0,0.0,1000,1000,330.09641652890656,116,120000,120,165.40512028299418,13.216307604998292,12.178407878993312,190.79983576698578,2315.4003366848483,11
0.034141723,0.9980469,0.04744342,4.0,-7.335148,2.6492603,-0.61229396,-10.000046,2.0,218.39484,70.67645,0.005355688,1242.9933,-1210.0616,453.9476,-242.77524,-1956.7334,-1220.1221,458.34128,-240.62459,-1966.9347,0.5811644838652936,0.0,0.5811644838652936,0.5811644838652936,3.0098667,1.9741739,8.633109,-3.1517563,0.19849902,1.1567856,2.4658248,-3.5779533,-0.6729779,0.33061036,-0.005370885,-1.9652936,1.9243732459726999,0.5042673351919633,3.097505200195131,0.44620393081716964,388.62717702418666,30.309234018067308,552.0428060114683,374.17923465112904,0.038230393,0.391285,0.970393,-0.9657071,201.95,30.930688644128182,368,187,10,1.1311117361624246,0.6258357498616443,3.6115672757111925,-1.0701268350093418,1131.1117361624251,71.37192867417079,1224.9493758948117,975.4067915909231,-0.11157892,0.5292478,0.99962556,-0.99978936,1000.0,0.0,1000,1000,388.62717702418666,126,130000,130,165.67211230601242,13.570696172995667,12.02576895099628,191.26857743000437,2506.928448538849,12
0.030614004,0.9980469,0.0043066232,4.0,-7.0858326,2.360443,-0.44808638,-10.000046,2.0,30.462128,26.995642,-0.01091896,1240.2223,-1234.2734,352.5218,-306.01324,-1612.9818,-1235.468,352.7566,-308.96735,-1616.1074,0.8383966571273047,0.0,0.8383966571273047,0.8383966571273047,2.938067,2.3757114,8.527991,-8.54065,0.28994152,1.1573281,2.2804108,-2.8937726,-0.6197472,0.23841535,0.07773852,-1.5630744,1.1758602848984834,0.42135443428494795,2.392725303830805,-0.601500002440111,447.04876869253667,109.66320229697381,575.8604349588624,244.35210138628298,0.03287101,0.3174171,0.9895419,-0.9388973,380.188679245283,51.51554321362854,453,266,10,1.1019650891784707,0.5395595152303474,3.286830473297237,-2.122306499735962,1101.9650891784706,105.8318054501684,1187.4504774088114,836.9396352977512,-0.08925587,0.51891077,1.0,-0.99998635,1000.0,0.0,1000,1000,447.04876869253667,136,140000,140,165.92339100800018,13.82349915499799,12.076664377978886,191.82355454097706,2698.82565197083,13
0.027701141,0.99609375,0.00048819638,4.0,-7.151267,2.3031116,-0.6805004,-10.000046,2.0,34.090046,31.352482,-0.13397789,1254.3552,-1263.6179,323.42407,-359.77866,-1779.7655,-1260.887,323.00314,-361.0858,-1776.0121,0.4536336186161807,0.0,0.4536336186161807,0.4536336186161807,2.83044,2.1096559,11.38936,-5.4117007,-0.1876439,0.89240146,2.6585577,-3.4391336,-0.99796265,0.41871002,-0.16549954,-2.978159,1.3577432481954093,0.5103551667973875,3.1959180859926266,0.48523092931222217,604.0147130138644,119.60158818284413,892.1714099341965,456.85054205689585,-0.01706359,0.1995038,0.9175354,-0.90580314,444.8666666666667,117.88084379293072,708,304,10,1.178159388294827,0.5513434793364377,3.877116816459234,0.06501244997043054,1178.1593882948268,46.14215001186222,1245.5691944890095,1060.8243335457903,-0.15032856,0.43694538,0.9992755,-0.9966535,1000.0,0.0,1000,1000,604.0147130138644,146,150000,150,167.1834408799914,13.91314775399951,12.102003590000095,193.198592223991,2892.2064481528214,14
0.025272276,1.0,0.0047897724,4.0,-5.9547257,2.6625426,-0.4802875,-10.000046,2.0,27.997028,28.482883,-0.022391222,1295.3901,-1287.0481,321.84363,-412.64896,-1652.4032,-1285.895,321.62393,-411.65356,-1657.4642,0.40316349851077665,0.0,0.40316349851077665,0.40316349851077665,2.9753528,2.0114393,11.883897,-1.5087073,-0.30251276,0.9054966,4.226857,-2.422316,-1.0301633,0.41398692,-0.02382958,-2.694766,1.671022658765848,0.4031635349327668,3.164292734945329,0.9519709493448414,350.51440916216546,20.63943379374961,378.6435667996163,322.70589074925726,-0.027673677,0.26867026,0.9624874,-0.93174,209.76041666666666,7.769792993363609,221,198,10,1.155335063027528,0.6260558337433877,4.769334761473309,-3.4776615517929343,1155.3350630275281,170.24995298809242,1572.8389114941817,1011.0029348373181,-0.018132472,0.467454,0.9999984,-0.9999995,1000.0,0.0,1000,1000,350.51440916216546,156,160000,160,168.6542004829971,14.096241580999049,12.11557261600683,194.866014680003,3087.540007504831,15
0.03657323,1.0,0.028489243,4.0,-6.69403,3.0093913,-0.9155134,-10.000046,2.0,83.06203,81.45815,0.021575134,1083.9668,-1082.9061,449.89114,-472.97894,-2355.3208,-1087.3293,450.05844,-475.25284,-2350.0295,1.0969698800633898,0.0,1.0969698800633898,1.0969698800633898,2.7675023,2.0103443,9.52375,-3.1567736,-0.11017702,1.0811995,2.6861286,-2.4091613,-0.7589764,0.2826401,0.013692796,-1.6952139,1.9413616104206166,0.371802338018688,2.854485103629202,0.95886263155695,297.2061610456906,1.06412420167502,300.22262587839947,295.33163602744526,0.060868658,0.2871558,0.94111544,-0.91081774,153.0916030534351,0.2884647882090257,154,153,10,1.1365867601596866,0.7856904785089204,4.185376280833601,-1.9884321568137606,1136.5867601596867,86.71762043830925,1210.7693080354936,933.5721460473603,-0.07289636,0.50103194,0.99749976,-0.9991481,1000.0,0.0,1000,1000,297.2061610456906,166,170000,170,164.9361014659953,14.566415836001397,10.938058179992368,190.44057548198907,3278.280270063835,16
0.03891793,1.0,0.05146812,4.0,-7.6124325,3.0856962,-0.8420971,-10.000046,2.0,31.611263,41.193306,-0.0033548512,1103.9161,-1103.0151,466.41528,-472.4375,-2148.0608,-1099.4895,464.80493,-461.64526,-2132.9421,0.7327230038361935,0.0,0.7327230038361935,0.7327230038361935,2.9892135,1.8442626,9.675697,-2.991396,0.117150396,1.049354,2.5838792,-3.0996342,-0.8585341,0.36377063,-0.17011806,-2.1551626,1.0338941736059077,0.17122568997059698,2.1218782924359725,0.4243133504701746,1033.894173605908,0.5174347641585103,1034.7062375747123,1032.5952175790314,-0.0329322,0.10314447,0.9287166,-0.87466645,1000.0,0.0,1000,1000,10,1.1243699745040494,0.7084290003835622,4.723867572844364,-4.292683003349161,1124.369974504049,105.62549749840585,1316.1735629105672,920.2055747646633,-0.05217252,0.5901585,0.9990065,-0.99922657,1000.0,0.0,1000,1000,1033.894173605908,176,180000,180,167.27292193202447,14.864548796002055,11.99973848699301,194.13720921501954,3472.6282057828357,17
0.036247365,0.9980469,0.05554878,4.0,-6.739523,3.128686,-1.0220163,-10.000046,2.0,31.839367,32.49469,-0.009803984,1193.9126,-1196.7424,465.17484,-409.13907,-2296.0083,-1197.8956,465.28122,-422.93668,-2298.0593,0.9041019889014836,0.0,0.9041019889014836,0.9041019889014836,2.9025896,2.0419297,8.477473,-2.9272285,-0.077328235,1.0897124,2.502378,-2.7738194,-0.79733163,0.30657193,-0.30204773,-1.9842169,1.009612342588968,0.1292817081928267,1.9872603706366414,0.4417681095788722,1009.6123425889679,0.5203597405327127,1010.5265221867368,1008.3903065804515,0.18048397,0.2841595,0.97101885,-0.50384355,1000.0,0.0,1000,1000,10,1.0222252427785563,0.4977473688732596,3.6080526905690706,-1.6592364601642275,1022.2252427785564,134.1633032274018,1207.5721240044666,777.3637074584099,0.16882437,0.5028296,1.0,-1.0,1000.0,0.0,1000,1000,1009.6123425889679,186,190000,190,167.67093345900503,15.06846231000236,11.972207336992142,194.71160310599953,3667.250044255852,18
0.042049672,0.9902344,0.008947421,4.0,-4.357169,2.1587288,-0.9546119,-9.661494,2.0,27.213085,28.79309,-0.011494402,889.2463,-891.87177,537.86884,-284.92126,-2185.264,-892.2023,537.37366,-297.64673,-2191.1116,0.779957668740063,0.0,0.779957668740063,0.779957668740063,2.9537442,2.0173855,9.847205,-3.1627297,-0.008167918,0.92925906,2.275925,-2.309774,-1.0038096,0.48983103,-0.17625082,-2.227252,1.0574114344277656,0.15548635582822992,1.7710403729677133,0.8493425504964924,1057.411434427766,1.3020426895286676,1059.8721136451084,1055.446428849637,-0.056212377,0.17130744,0.8734757,-0.8676645,1000.0,0.0,1000,1000,10,1.0538363757423237,0.25346915997702535,3.185425168931317,-0.16152625835743023,1053.8363757423235,39.74915445608085,1160.5821721115278,1000.395536667653,0.014408528,0.3804472,0.99969316,-0.99959207,1000.0,0.0,1000,1000,1057.411434427766,196,200000,200,167.10692377699888,14.989731369001674,11.870243568977457,193.96689871497802,3861.361564911829,19
